model,scenario,trial,success,turn,G,C,D,S,O,E,corruption
deepseek,S9,3,1,6,0.0,81.9831,50.4826,4.9177,66.4851,65.0301,0.0
deepseek,S9,3,1,7,0.0,89.836,63.1198,0.0,72.7019,83.6354,0.0
deepseek,S9,3,1,8,0.0,100.0,76.9989,0.0,80.7237,100.0,0.0
deepseek,S9,4,1,0,39.9,58.25,41.0,45.0,33.45,37.4,0.0
deepseek,S9,4,1,1,32.34,63.515,35.435,39.8475,42.3725,31.09,0.0
deepseek,S9,4,1,2,24.5728,68.316,35.1275,34.5646,49.1701,30.8307,0.0
deepseek,S9,4,1,3,16.8039,71.3302,34.902,28.3244,53.8664,33.5955,0.0
deepseek,S9,4,1,4,8.9994,74.297,37.4661,21.2,57.94,40.2502,0.0
deepseek,S9,4,1,5,0.0,77.8889,42.881,12.8459,62.0891,50.8897,0.0
deepseek,S9,4,1,6,0.0,83.9771,54.0421,4.5497,67.7229,67.6611,0.0
deepseek,S9,4,1,7,0.0,90.9997,64.1446,0.0,73.4566,85.4804,0.0
deepseek,S9,4,1,8,0.0,100.0,78.171,0.0,81.7342,100.0,0.0
deepseek,S9,5,0,0,38.9,59.5,43.5,45.0,34.2,38.9,0.0
deepseek,S9,5,0,1,30.74,65.04,38.035,39.26,43.41,33.365,0.0
deepseek,S9,5,0,2,22.0877,70.176,38.0962,33.2952,50.5495,34.1382,0.0
deepseek,S9,5,0,3,12.0661,74.8819,41.0662,26.1932,56.445,39.8239,0.0
deepseek,S9,5,0,4,2.1416,78.7327,44.8443,17.3355,61.4251,49.2378,0.0
deepseek,S9,5,0,5,0.0,83.5176,52.2528,8.4138,66.7618,63.6272,0.0
deepseek,S9,5,0,6,0.0,90.0038,61.788,0.0,72.6057,80.7788,0.0
deepseek,S9,5,0,7,0.0,98.0101,72.098,0.0,79.0206,99.5806,0.0
